"direccion";"latitud";"longitud"
"CARRETERA A VILLANUEVA KM 1";10,44544;-75,36948
"KM 5 VIA YATI";9,24536;-74,75815
"Carrera 3 No 5 - 104";6,00902;-73,67522
"KM3 VIA SAN BERNAROD DEL VIENTO";9,31532;-75,89
"BARRIO ALFONSO LOPEZ - VIA VILLANUEVA";8,34094;-76,11697
"BARRIO CINCO DE OCTUBRE- CAMINO KALIMBE- KM 3 VIA A TURBACO";10,33328;-75,4126
"Calle 12 No 1 - 20";0,8721;-77,80803
"ALCALDIA MUNICIPAL BARRIO MARCO FIDEL SUAREZ";0,66765;-76,87099
"KM 4 VIA A PLACER VDA LAS VEGAS";0,42303;-76,90541
"Carrera 16 Calle 3 ESQUINA  ALCALDIA MUNICIPAL";3,00633;-76,48233
"KM 5 VIA NIZA JONGOVITO PASTO";1,18483;-77,28794
"ZANJON HONDO  KM 2 VIA BUGA - PALMIRA";3,90089;-76,29783
"PALACIO MUNICIPAL";2,75493;-76,62899
"Calle 10 ENTRE Carrera 3B Y 3C No 4-14 BARRIO EL ROSARIO";2,63967;-76,52892
"Calle 9 No 30 - 96  CUASPUD CHIQUITO";0,90596;-77,78944
"Calle 6 KR 10 ESQUINA  ALCALDIA MUNICIPAL";3,41981;-76,24131
"Carrera 25 No 25 - 04";4,08538;-76,1978
"VEREDA SAN MIGUEL";1,17506;-76,8783
"ALCALDIA MUNICIPAL";4,41021;-76,15387
"Calle 19 Carrera 20 ESQUINA BARRIO OSPINA PEREZ";2,35184;-76,68161
"Calle 8 No 26-46";3,3264;-76,2425
"Carrera 3 E No 14 A - 98";2,44781;-76,58466
"Carrera 6 Calle 18 SALIDA AL ALIZAL";4,38709;-76,07018
"Calle 21 Carrera 10 BARRIO SAN PABLO";4,54116;-76,09778
"Calle 3 No 10 - 29 BARRRIO EL COMERCIO- PLAZA ´PRINCIPAL";1,40687;-77,39104
"Carrera 3 Avenida PERIMETRAL IPIALES";0,82253;-77,62027
"Carrera 16 Calle 8 EDIFICIO C.A.M. CUARTO PISO";4,33174;-75,82956
"KM 1 VIA PAMPLONA - LABATECA";7,37705;-72,64722
